mask_method,asym_masked_token_ratio,sym_masked_token_ratio,sym_masked_atom_ratio
all,1.0,1.0,0.48339575530586765
entity,0.996875,0.996875,0.5092449922958397
token,0.459375,0.9890625,0.49990401228642733
token,0.8578125,0.928125,0.4631612593894838
entity,0.2421875,0.2421875,0.19942238267148016
token,0.9046875,0.9734375,0.4305390995260664
token,0.5631229235880398,0.7774086378737541,0.42179662562699494
entity,0.9953125,0.9953125,0.46694619147449334
atom,1.0,1.0,0.4650630011454754
token,0.1015625,0.359375,0.15649017933390263
all,1.0,1.0,0.4827314303737581
atom,1.0,1.0,0.43047673098751416
atom,1.0,1.0,0.44886470257083877
token,0.49242424242424243,0.5303030303030303,0.29403095062638174
entity,0.07109004739336493,0.07109004739336493,0.0
token,0.7582417582417582,0.7868131868131868,0.39994096812278634
token,0.5217391304347826,0.9966555183946488,0.4864526886202585
all,0.5672131147540984,0.5672131147540984,0.4249637155297533
atom,1.0,1.0,0.43279402613565654
atom,1.0,1.0,0.42796157950907154
entity,0.19836065573770492,0.19836065573770492,0.133428981348637
entity,0.53125,0.53125,0.26526278534772607
atom,1.0,1.0,0.44117985943080995
entity,0.9065420560747663,0.9065420560747663,0.487151248164464
all,0.971875,0.971875,0.48714907077896397
token,0.5314009661835749,0.9227053140096618,0.5012787723785166
atom,1.0,1.0,0.44948008632528935
entity,0.10695187165775401,0.10695187165775401,0.0
atom,1.0,1.0,0.43818580833942944
entity,0.12149532710280374,0.12149532710280374,0.0
entity,0.084375,0.084375,0.0
atom,1.0,1.0,0.4433804388248419
all,1.0,1.0,0.46209098164405427
token,0.75,0.7671875,0.3780381944444444
atom,0.875,0.875,0.4279849469722887
entity,0.028125,0.028125,0.027375485694100976
entity,0.2828125,0.2828125,0.08239910313901344
atom,1.0,1.0,0.43419644767815113
atom,1.0,1.0,0.267461313258051
token,0.6265625,0.6984375,0.3414145461831296
entity,0.8898026315789473,0.8898026315789473,0.4153315757452849
entity,0.5171875,0.5171875,0.2383720930232558
atom,1.0,1.0,0.39771917320028516
token,0.4747292418772563,0.4747292418772563,0.2538082962268573
entity,0.05229793977812995,0.05229793977812995,0.0
entity,0.478125,0.478125,0.30599586492074426
atom,1.0,1.0,0.45995085995085994
token,0.815625,0.815625,0.3883425710709816
token,0.6688741721854304,1.0,0.485445205479452
entity,0.8260188087774295,0.8260188087774295,0.36241446725317694
token,0.8421875,0.9984375,0.4671475921232209
entity,0.9765625,0.9765625,0.47868047025794
atom,0.9078651685393259,0.9078651685393259,0.4534242129178838
token,0.5390625,0.9375,0.4582586172544332
token,0.75625,0.99375,0.47562296858071507
token,0.5352480417754569,0.5352480417754569,0.2808873720136519
token,0.8921348314606742,0.8921348314606742,0.4930217461863031
token,0.5352480417754569,0.5352480417754569,0.2808873720136519
token,0.8921348314606742,0.8921348314606742,0.4930217461863031
entity,0.7103448275862069,0.7103448275862069,0.4891347293559858
token,0.5352480417754569,0.5352480417754569,0.2808873720136519
token,0.8921348314606742,0.8921348314606742,0.4930217461863031
token,0.5352480417754569,0.5352480417754569,0.2808873720136519
entity,0.052873563218390804,0.052873563218390804,0.0
atom,1.0,1.0,0.31436077057793343
entity,0.388086642599278,0.388086642599278,0.0
atom,1.0,1.0,0.26342812006319116
entity,0.9951690821256038,0.9951690821256038,0.49132947976878616
token,0.78125,1.0,0.47850886127520875
atom,0.9777070063694268,0.9777070063694268,0.43729040912139505
token,0.7215619694397284,0.9796264855687606,0.4732061762034514
atom,1.0,1.0,0.3396793587174348
entity,0.06005221932114883,0.06005221932114883,0.0
token,0.32679738562091504,0.4477124183006536,0.23534558180227472
atom,1.0,1.0,0.42749699157641396
atom,0.9078651685393259,0.9078651685393259,0.4589419019798766
atom,0.7982758620689655,0.7982758620689655,0.43091859596713966
all,0.9606164383561644,0.9606164383561644,0.47919035706163293
entity,0.7375,0.7375,0.31324725011956
entity,0.8625,0.8625,0.4710975895155628
entity,0.2484375,0.2484375,0.13001281816517118
token,0.435546875,0.87109375,0.42881745120551096
atom,1.0,1.0,0.43708737864077674
token,0.2539404553415061,0.2539404553415061,0.1756908140403286
token,0.7828125,0.7828125,0.39322816467872257
atom,1.0,1.0,0.4423318010865023
token,0.3921875,0.884375,0.44745892243026364
token,0.4375,0.4375,0.26016771488469603
entity,0.5,0.5,0.23167155425219943
all,1.0,1.0,0.5073705179282868
token,0.503125,0.5625,0.3032314410480349
token,0.8006329113924051,0.9129746835443038,0.3951502211377155
entity,0.9449035812672176,0.9449035812672176,0.4682184422560429
token,0.8171875,0.8171875,0.3792608539648368
atom,1.0,1.0,0.4324569356300997
atom,1.0,1.0,0.4584461570506144
atom,1.0,1.0,0.4399897418362113
all,1.0,1.0,0.47326732673267324
all,0.2413793103448276,0.2413793103448276,0.40718562874251496
token,0.5896907216494846,0.5896907216494846,0.31161024992091113
all,1.0,1.0,0.4923976608187135
entity,0.925,0.925,0.5007241878750259
